Part Description,Supplier,Part # OEM,Machine,Location Shelf and Bin,Alternate part Number,Alternate Manufacturer,NOTES,
Pressure spring A7X40x85,Apilion,1017.2662,Zublin,Shelf A-1 Bin 6-6,,,
Seal kit for cutting cylinder(Square),Apilion,1017.5096,Zublin,,,,
Cylinder pin,Apilion,D6325 5x 36,Zublin,,,,
Hyd. pipe short,Apilion,M513912301,Zublin,,,,
Hyd. pipe long,Apilion,M513912302,Zublin,,,,
Ground wheel,Apilion,M510130710,Zublin,,,,
Weld wheel 10,Apilion,M510130715,Zublin,,,,
Shaft nut,Apilion,1017.2686,Zublin,,,,
Nilos Ring,Apilion,1017.3372,Zublin,Shelf A-1 Bin 5-3,,,
Lock Washer,Apilion,1017.2725,Zublin,Shelf A-1 Bin 5-3,,,
Fuse NH-1 200A/500V (3 reqd),Apilion,1014.1831,Zublin,Shelf A-1 Bin 2-1,,,
Fuse 630A/660V (3 reqd),Apilion,1014.1885,Zublin,Shelf A-1 Bin 4-3,,,
Oil level/temp. switch for hydraulic aggregate,Apilion,1014.3181,Zublin,,,,
Grease Pipe,Apilion,M45960721,Zublin,Shelf A-1 Bin 5-2,,,
Snap Ring,Apilion,D471 40x1.75,Zublin,Shelf A-1 Bin 5-3,,,
Grease Fitting,Apilion,1013.2503,Zublin,Shelf A-1 Bin 5-2,,,
Electrode holder welding roller side,Apilion,M514430705,Zublin,Shelf A-2 Bin 1-3,,,
Electrode holder contact roller,Apilion,M514430706,Zublin,Shelf A-2 Bin 1-3,,,
Swivel arm ground side,Apilion,M509900701,Zublin,Shelf A-2 Bin 1-2,,,
Swivel arm weld side,Apilion,M509900702,Zublin,Shelf A-2 Bin 1-2,,,
Copper bridge weld side watercooled,Apilion,M514890707,Zublin,Shelf A-2 Bin 1-2,,,
Copper bridge contact side watercooled,Apilion,M514890708,Zublin,Shelf A-2 Bin 1-2,,,
Plate spring ($25/100),Apilion,1017.4173,Zublin,,,,
Washer 13.0,Apilion,D43313,Zublin,Shelf A-1 Bin 6-5,Various sizes,,
Pressure piece,Apilion,M513780720,Zublin,Shelf A-1 Bin 6-5,,,
Distance bushing5mm for welding head,Apilion,M514890718,Zublin,Shelf A-1 Bin 5-2,,,
Transducer (BTL5-A11-M0650-P-S32) 650mm,Apilion,1014.2653,Zublin,Shelf A-2 TOP Shelf,,,
Captive magnet for transducer,Apilion,1014.2654,Zublin,Shelf A-1 Bin 7-4,,,
Fan unit set complete for cooling system,Apilion,1017.6417,Zublin,,,,
Prox sensor Initiator IGA 3005,Apilion,1014.2135,Zublin,Shelf A-1 Bin 7-4,,,
Frequency convertor 45KW(MDX60A0450-503-4-00),Apilion,1014.3276,Zublin,,,,
Bearing wire feed unit,Apilion,1017.3126,Zublin,,,,
Stiffening plate for wire guide tubes,Apilion,M51564063003,Zublin,,,,
Bushing 5mm up to 6.5mm for slide die hole =7mm,Apilion,M514812205,Zublin,Shelf A-1 Bin 3-6,,,
Limit switch for wire transport cover,Apilion,1014.1054,Zublin,Shelf A-1 Bin 7-6,,,
Emergency stop mushroom button,Apilion,1014.4034,Zublin,,,,
Bearing wire reel (6022-2Z),Apilion,1017.343,Zublin,,,,
Bearing wire reel (6018-2RS1),Apilion,1017.3148,Zublin,,,,
Potentiometer,Apilion,1014.122,Zublin,,,,
Knob Potentiometer,Apilion,1014.1122,Zublin,Shelf A-1 Bin 7-4,,,
Shear Bushing,,M517692207,Zublin,Shelf A-1 Bin 4-1,,,
Spring Element Clip,,1013.2247,Zublin,Shelf A-1 Bin 4-2,,,
Spring Element Pin,,M514890717,Zublin,Shelf A-1 Bin 4-2,,,
Square Valve Rebuild Kit,,1075096,Zublin,Shelf A-1 Bin 4-3,,,
Green O Ring,,1017. 4340,Zublin,Shelf A-1 Bin 4-3,,,
Mounting Bolt For Spring Element,,M5120502,Zublin,Shelf A-1 Bin 5-1,,,
Snap ring,,D471 30X1.5,Zublin,Shelf A-1 Bin 5-3,,,
Snap ring,,D471 65X2.5,Zublin,Shelf A-1 Bin 5-3,,,
Bushing,,D172A 15.0X36,Zublin,Shelf A-1 Bin 5-4,,,
Bushing,,D472A 10X25,Zublin,Shelf A-1 Bin 5-4,,,
Link Rocker Pin,,D6235 5X36,Zublin,Shelf A-1 Bin 6-1,,,
Sheer Bushing,,M514142208,Zublin,Shelf A-1 Bin 6-2,,,
Bushing,,M514142205,Zublin,Shelf A-1 Bin 6-2,,,
Coupling,,1017.5966,Zublin,Shelf A-1 Bin 6-4,,,
Washer,,D125A 1310,Zublin,Shelf A-1 Bin 6-5,,,
Washer,,M47860178,Zublin,Shelf A-1 Bin 6-5,,,
?,,M514900216,Zublin,Shelf A-1 Bin 6-5,,,
Pressure Gauge,,3548K11,Zublin,Shelf A-1 Bin 7-1,,,
?,,M513692203,Zublin,Shelf A-1 Bin 7-2,,,
Switch?,,1017.6186,Zublin,Shelf A-1 Bin 7-6,,,
Power Supply,,1014.1263,Zublin,Shelf A-1 Bin 3-1,,,
Limit Switch,,1014.3147,Zublin,Shelf A-1 Bin 3-1,,,
Fuse Link,,1014.3776,Zublin,Shelf A-1 Bin 3-2,,,
Switch,,1014.4635,Zublin,Shelf A-1 Bin 3-3,,,
Guard,,M5176926100,Zublin,Shelf A-1 Bin 3-3,,,
Bearing (6205-C-2HRS),,na,Zublin,Shelf A-1 Bin 3-6,,,
?,,M48130212,Zublin,Shelf A-1 Bin 4-2,,,
?,,1017.4506,Zublin,Shelf A-1 Bin 3-6,,,
?,,1014.3277,Zublin,Shelf A-1 Bin 3-1,,,
Motor Brushes,,1014.0958,Zublin,Shelf A-1 Bin 3-3,,,
Tachometer,,1014.2539,Zublin,Shelf A-1 Bin 3-3,,,
?,,D6885 06 06 030,Zublin,Shelf A-1 Bin 4-5,,,
Expansion Tank,,1017.7207,Zublin,Shelf A-2 Bin 1-1,,,
Motor,,1017.6055,Zublin,Shelf A-2 Shelf 1-1,,,
Bolts,,D933 12X220,Zublin,Shelf A-2 Shelf 1-2,,,
?,,M515030410,Zublin,Shelf A-2 Shelf 1-2,,,
Gear Box Rebuild Kit?,,1017.8428,Zublin,Shelf A-2 Shelf 1-2,,,
Bolts,,D933 16X100,Zublin,Shelf A-2 Shelf 1-3,,,
?,,RFN7012 50X80,Zublin,Shelf A-2 Shelf 1-3,,,
Varimeter,,1014.4305,Zublin,Shelf A-1 Bin 2-2,,,
Varimeter,,1014.1369,Zublin,Shelf A-1 Bin 2-2,,,
Limit Switch,,1014.3852,Zublin,Shelf A-1 Bin 2-3,,,
?,,100109602,,Shelf A-3 Shelf 1-1,,,
Breaker?,,1014.4548,,Shelf A-3 Shelf 1-2,,,
Clips ?,,1013.2245,,Shelf A-1 Bin 4-5,,,
?,,M48130407,,Shelf A-1 Bin 2-2,,,
Bolt M8X90,,na,,Shelf A-1 Bin 5-1,,,Part 11114808
Bolt M8-1.25X1612.9,,na,,Shelf A-1 Bin 2-5,,,Part 1139586
Bolt M8-1.25X25,,na,,Shelf A-1 Bin 2-5,,,Part 1139588
Bolt M6 1.0X25,,na,,Shelf A-1 Bin 2-5,,,Part 1139956
Bolt M12 1.75X50,,na,,Shelf A-1 Bin 2-5,,,Part 1139658
Proximity sensor,,SAS BSM003709,,Shelf B-4 Bin 1-1,,Eaton Moeller,
Contactor,,XTMC9A10,,Shelf B-4 Bin 1-1,,,
Bolt W/Swivel arm W/Poly Bushing,,na,,Shelf B-4 Bin 1-2,,,
Bolt For Swivel Arm,,FT-006-006,,Shelf B-4 Bin 1-2,,,
Insulating ASC,,FT-007-016,,Shelf B-4 Bin 1-2,,,
Poly Bushing,,FT-006-011,,Shelf B-4 Bin 1-2,,,
Fuse Link 160A,,EL-000-179,,Shelf B-4 Bin 1-3,Siemens 3NA7-836,,
Fuse Link 63A,,EL-000-176,,Shelf B-4 Bin 1-4,Siemens 3NA3-822-7,,
Limit Switch,,LS-S11S-GR,,Shelf B-4 Bin 1-5,,,
Limit Switch Head,,LS-XP,,Shelf B-4 Bin 1-5,,,
Swivel Mount,,S8N-40 D1,,Shelf B-4 Bin 1-6,,,
Trunk Brk Clv Kit,,L077510050,,Shelf B-4 Bin 1-6,,,
?,,EL-000-847,,Shelf B-4 Bin 3-1,IME08-1B5PSZTOS (1040838),Sick,
?,,EL-001-349,,Shelf B-4 Bin 3-1,,,
?,,DAH-000-722,,Shelf B-4 Bin 3-1,,,
?,,HY-001-010,,Shelf B-4 Bin 3-1,,,
Swivel Male Rod Ends,,CM-M12,,Shelf B-4 Bin 2-1,,,
Swivel Flange,,174401,,Shelf B-4 Bin 2-2,PN-000-407,FESTO SNCS-80,
Swivel Flange,,174397,,Shelf B-4 Bin 2-2,PN-000-410,FESTO SNCS-32,
Poly Bolt,,BSM-006-455,,Shelf B-4 Bin 2-3,,,
Spring for Poly Bolt,,na,,Shelf B-4 Bin 2-3,,,
Sliding Bearing,,ME-003-551,,Shelf B-4 Bin 2-3,,,
Lamp Holder & Integr LED 24V,,3SB3-244-6BA70,,Shelf B-4 Bin 2-4,,,
Lamp Holder & Integr LED 24V,,3SB3-244-6BA30,,Shelf B-4 Bin 2-4,,,
Ball Rail Accessory,,R160520080,,Shelf B-4 Bin 2-5,,,
Green Automation Light,,GCX1232-120L,,Shelf B-4 Bin 2-5,,,
Roller For Auto Cutter Poly,,BSM-001-772,,Shelf B-4 Bin 2-6,,,
Sliding Element Poly,,FT-002-011,,Shelf B-4 Bin 2-6,,,
